,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
0,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 11:20:32,2.0,17568.0,253.0,Não
1,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 10:38:25,2.0,17568.0,250.5,Não
2,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 18:28:06,3.0,26352.0,231.5,Não
3,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 18:07:55,2.0,17568.0,231.5,Não
4,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 17:10:54,4.0,35136.0,240.0,Não
5,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 14:04:08,4.0,35136.0,240.0,Não
6,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,19/12/2019 16:15:27,4.0,35136.0,205.0,Não
7,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Balcão,19/12/2019 16:10:19,1.5,13176.0,203.0,Não
8,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,18/12/2019 16:01:51,8.0,70272.0,191.0,Não
9,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,16/12/2019 16:49:56,15.0,131760.0,200.0,Não
10,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,12/12/2019 14:30:27,5.0,43920.0,208.5,Não
11,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 17:52:44,1.0,8784.0,204.0,Não
12,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 17:41:14,10.0,87840.0,204.0,Não
13,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 17:37:35,10.0,87840.0,205.0,Não
14,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 16:52:29,1.0,8784.0,203.5,Não
15,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 16:41:21,10.0,87840.0,205.0,Não
16,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,09/12/2019 16:56:28,1.0,8784.0,191.0,Não
17,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,09/12/2019 16:54:26,3.0,26352.0,191.0,Não
18,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,09/12/2019 10:16:47,5.0,43920.0,204.0,Não
19,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,06/12/2019 18:09:06,2.0,17568.0,193.5,Não
20,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 19:02:56,10.0,87840.0,190.0,Não
21,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 18:18:24,2.0,17568.0,190.0,Não
22,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 14:48:02,4.0,35136.0,191.0,Sim
23,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 14:21:36,2.0,17568.0,190.0,Não
24,SE CON ANU JAN/21 DEZ/21 - Preço Fixo,Boleta,04/12/2019 18:22:47,5.0,43800.0,184.0,Não
25,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 17:39:15,10.0,87840.0,195.0,Não
26,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 16:34:20,3.0,26352.0,193.0,Não
27,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 12:03:40,2.0,17568.0,193.0,Não
28,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 11:52:49,5.0,43920.0,191.0,Não
29,SE CON ANU JAN/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 11:45:23,3.0,26352.0,193.5,Não
