,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
0,SE CON MEN FEV/20 - Preço Fixo,Boleta,31/12/2019 08:39:20,1.5,1044.0,323.0,Não
1,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 18:00:00,1.0,744.0,328.0,Não
2,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 17:57:48,0.1,74.4,327.0,Não
3,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 17:57:47,0.9,669.6,326.9,Não
4,SE CON MEN FEV/20 - Preço Fixo,Boleta,30/12/2019 17:52:25,4.0,2784.0,323.0,Não
5,SE CON MEN MAR/20 - Preço Fixo,Balcão,30/12/2019 17:40:43,1.0,744.0,270.0,Não
6,SE CON MEN MAR/20 - Preço Fixo,Balcão,30/12/2019 17:40:40,0.5,372.0,269.0,Não
7,SE CON MEN MAR/20 - Preço Fixo,Balcão,30/12/2019 17:40:34,3.0,2232.0,269.0,Não
8,SE CON MEN MAR/20 - Preço Fixo,Balcão,30/12/2019 17:40:18,1.0,744.0,270.0,Não
9,SE CON MEN MAR/20 - Preço Fixo,Balcão,30/12/2019 17:39:50,1.5,1116.0,272.0,Não
10,SE CON MEN FEV/20 - Preço Fixo,Balcão,30/12/2019 17:16:03,1.0,696.0,323.0,Não
11,SE CON MEN MAR/20 - Preço Fixo,Balcão,30/12/2019 17:06:53,2.0,1488.0,270.0,Não
12,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 17:04:18,1.0,744.0,325.0,Não
13,SE CON MEN FEV/20 - Preço Fixo,Balcão,30/12/2019 16:56:52,2.0,1392.0,322.0,Não
14,SE CON MEN JAN/20 - Preço Fixo,Boleta,30/12/2019 16:51:38,2.0,1488.0,326.0,Não
15,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 16:50:52,1.5,1116.0,324.0,Não
16,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 16:50:41,1.5,1116.0,325.0,Não
17,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 16:43:41,0.5,372.0,325.0,Não
18,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 16:43:31,0.5,372.0,324.0,Não
19,SE CON MEN JAN/20 - Preço Fixo,Boleta,30/12/2019 16:41:32,2.0,1488.0,325.0,Não
20,SE CON MEN FEV/20 - Preço Fixo,Boleta,30/12/2019 16:38:39,1.0,696.0,321.5,Não
21,SE CON MEN JAN/20 - Preço Fixo,Balcão,30/12/2019 16:28:05,1.0,744.0,325.0,Não
