,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
0,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Balcão,30/12/2019 11:33:16,2.0,13200.0,242.0,Não
1,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 17:44:34,1.0,6600.0,234.5,Não
2,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 17:43:56,3.0,19800.0,234.5,Não
3,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 11:53:41,5.0,7200.0,281.0,Não
4,SE CON OUTROS JUL/20 NOV/20 - Preço Fixo,Boleta,27/12/2019 10:29:20,12.08,44351.999,215.0,Não
5,SE CON OUTROS JUL/20 NOV/20 - Preço Fixo,Boleta,26/12/2019 18:28:05,10.1,37079.999,215.0,Não
6,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 17:55:20,1.0,6600.0,227.0,Não
7,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 17:53:07,1.0,6600.0,227.0,Não
8,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,26/12/2019 16:46:45,1.0,6600.0,227.0,Não
9,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Boleta,26/12/2019 16:06:47,3.0,4320.0,275.0,Não
10,SE CON QUA FEV/20 MAI/20 - Preço Fixo,Boleta,23/12/2019 14:10:06,13.0,37752.0,196.25,Não
11,SE CON QUA FEV/20 MAI/20 - Preço Fixo,Boleta,23/12/2019 14:08:59,10.0,29040.0,197.8,Não
12,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,20/12/2019 17:19:30,1.0,6600.0,208.0,Não
13,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Boleta,19/12/2019 18:01:31,2.8,4032.0,196.0,Não
14,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Balcão,19/12/2019 16:10:15,2.0,2880.0,190.0,Não
15,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Boleta,19/12/2019 15:56:51,2.8,4032.0,194.0,Não
16,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,19/12/2019 14:45:09,5.0,7200.0,195.0,Não
17,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Boleta,19/12/2019 11:31:41,2.0,2880.0,200.0,Não
18,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,18/12/2019 16:54:34,2.0,2880.0,192.0,Não
19,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,18/12/2019 15:30:37,2.0,2880.0,188.0,Não
20,SE CON BIM NOV/20 DEZ/20 - Preço Fixo,Boleta,17/12/2019 18:14:59,10.0,14640.0,195.0,Não
21,SE CON BIM ABR/20 MAI/20 - Preço Fixo,Boleta,17/12/2019 11:24:22,5.0,7320.0,177.0,Não
22,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,17/12/2019 09:49:01,2.0,2880.0,192.0,Não
23,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,17/12/2019 09:45:36,1.0,1440.0,192.0,Não
24,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,17/12/2019 09:40:07,2.0,2880.0,190.0,Não
25,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,16/12/2019 12:15:38,5.0,7200.0,197.0,Não
26,SE CON OUTROS MAI/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 17:13:11,2.0,11760.0,211.0,Não
27,SE CON OUTROS MAI/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 16:31:05,2.0,11760.0,209.5,Não
28,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 16:24:30,3.0,4320.0,204.0,Não
29,SE CON BIM NOV/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 16:02:46,15.0,21960.0,196.0,Não
30,SE CON BIM NOV/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 16:02:09,5.0,7320.0,196.0,Não
31,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 15:59:53,2.5,16500.0,209.0,Não
32,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 17:29:44,1.5,2160.0,212.0,Não
33,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 15:47:14,2.0,2880.0,212.0,Não
34,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 15:46:12,3.0,4320.0,212.0,Não
35,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 14:23:51,3.0,4320.0,214.0,Não
36,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 14:16:27,1.0,1440.0,214.0,Sim
37,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 15:02:16,1.0,1440.0,207.0,Não
38,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 17:25:59,1.0,1440.0,198.0,Não
39,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 16:54:49,5.0,7200.0,198.0,Não
40,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 10:21:49,5.0,33000.0,207.0,Não
41,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,09/12/2019 15:33:55,3.0,19800.0,200.0,Não
42,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 10:21:52,3.0,4320.0,200.0,Não
43,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,06/12/2019 10:47:41,2.0,2880.0,175.0,Não
44,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 11:38:27,5.0,33000.0,199.0,Não
45,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,05/12/2019 11:23:06,2.0,2880.0,172.0,Não
46,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 17:52:58,3.0,4320.0,172.0,Não
47,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 17:52:46,0.1,144.0,172.0,Não
48,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 17:06:15,0.9,1296.0,172.0,Não
49,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 17:01:03,1.0,1440.0,172.0,Não
50,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 17:00:15,5.0,7200.0,173.0,Não
51,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 14:51:37,10.0,66000.0,193.5,Não
52,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 15:47:00,5.0,33000.0,199.0,Não
53,SE CON OTR ABR/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 15:45:40,5.0,33000.0,198.0,Não
54,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Boleta,04/12/2019 11:40:09,1.0,1440.0,178.0,Não
55,SE CON BIM JAN/20 FEV/20 - Preço Fixo,Boleta,04/12/2019 11:08:53,1.7,2448.0,180.0,Não
56,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 09:13:19,1.0,744.0,185.0,Sim
57,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Balcão,04/12/2019 09:08:38,2.0,1488.0,182.0,Sim
58,SE CON BIM FEV/20 MAR/20 - Preço Fixo,Boleta,28/11/2019 11:04:53,2.0,2880.0,186.0,Não
