,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
0,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,31/12/2019 10:19:56,7.5,16380.0,304.0,Não
1,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,30/12/2019 17:21:05,20.0,43680.0,175.0,Não
2,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,30/12/2019 17:19:33,10.0,21840.0,246.0,Não
3,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,30/12/2019 11:41:59,3.0,6552.0,218.0,Não
4,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,30/12/2019 10:26:10,5.0,10920.0,290.0,Não
5,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 17:35:18,3.0,6552.0,289.0,Não
6,SE CON TRI OUT/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 17:24:01,4.95,10920.0,204.5,Não
7,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,27/12/2019 17:20:44,10.0,21840.0,201.5,Não
8,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 16:27:51,10.0,21840.0,243.0,Não
9,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 16:19:18,20.0,43680.0,288.0,Não
10,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 16:02:45,20.0,43680.0,285.25,Não
11,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 16:01:03,40.0,87360.0,283.75,Não
12,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 15:10:56,1.0,2184.0,288.0,Não
13,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 15:05:15,2.0,4368.0,288.0,Não
14,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 15:04:09,5.0,10920.0,287.5,Não
15,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 14:43:54,3.0,6552.0,288.0,Não
16,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,27/12/2019 14:42:36,5.0,10920.0,218.0,Não
17,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 14:20:30,10.0,21840.0,280.0,Não
18,SE CON TRI OUT/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 13:56:53,5.0,11040.0,234.0,Não
19,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 13:42:54,2.0,4368.0,289.0,Não
20,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,27/12/2019 11:41:45,5.0,10920.0,286.0,Não
21,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,27/12/2019 11:40:02,2.0,4368.0,284.0,Não
22,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 11:24:19,3.0,6552.0,286.0,Não
23,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,27/12/2019 11:16:57,2.0,4368.0,285.0,Não
24,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 11:06:26,5.0,10920.0,282.0,Não
25,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,27/12/2019 10:29:54,5.0,10920.0,285.0,Não
26,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,26/12/2019 16:06:03,5.0,10920.0,261.0,Não
27,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,26/12/2019 16:00:26,2.0,4368.0,209.0,Não
28,SE CON TRI JUL/20 SET/20 - Preço Fixo,Boleta,26/12/2019 15:33:07,0.6,1324.8,265.0,Não
29,SE CON TRI JUL/20 SET/20 - Preço Fixo,Balcão,26/12/2019 15:29:27,0.4,883.2,265.0,Não
30,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,26/12/2019 14:41:07,7.0,15288.0,265.0,Não
31,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,26/12/2019 14:40:45,3.0,6552.0,265.0,Não
32,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,26/12/2019 11:43:06,3.0,6552.0,209.0,Não
